iteration,sample,radius,GaNzSpan,SapSpan,theta,power_output,status
2,7,1.550984124341875e-06,1.7282380696229717e-06,3.1831753878572554e-06,42.85147629929422,7.577129613392922e-13,success
2,8,1.5001658924014062e-06,1.4999799884510657e-06,2.847357062547518e-06,39.66716256420586,2.6360016765264744e-12,success
2,9,1.5795054182807241e-06,1.5869593118333344e-06,3.1149046708386683e-06,49.6557707855605,3.2358560333496955e-13,success
2,10,1.3994574433577768e-06,1.5990467772441964e-06,2.9583152638379368e-06,42.79108631729504,8.43686521860837e-13,success
3,1,1.6613253244830013e-06,1.4272235798367594e-06,2.9994699483546837e-06,43.244892460350044,3.0707753576392236e-13,success
3,2,1.619342989307252e-06,1.4342977007479404e-06,2.617514082318177e-06,44.31348111395142,4.203919954304715e-13,success
3,3,1.2602423983667431e-06,1.78283278912254e-06,2.7922730810875294e-06,41.47571146285289,9.910920062035582e-13,success
3,4,1.7466689234595249e-06,1.5845134824269739e-06,3.132467878155345e-06,42.80028303696924,7.752768370619363e-13,success
3,5,1.6953605516143348e-06,1.5539888060927968e-06,3.7950029079004203e-06,42.006185788228294,2.1539623828193274e-12,success
3,6,1.5537925409849044e-06,1.5983636144866176e-06,3.190570319889339e-06,46.04138196355403,6.90875312871882e-13,success
3,7,1.3538269858858673e-06,1.6692158212833378e-06,3.0633264575962702e-06,36.31766254625613,8.140518869477789e-13,success
3,8,1.6685461359465241e-06,1.4944615004724563e-06,3.489572773858489e-06,44.189334544364904,2.947043643152129e-12,success
3,9,1.6620009415941655e-06,1.6137414743734268e-06,2.882658640225273e-06,43.54445730569853,4.989311815288286e-13,success
3,10,1.5540808091485622e-06,1.6319120197666934e-06,3.4386707331835747e-06,45.54111061888055,1.0521200705337352e-12,success
4,1,1.6643346369400958e-06,1.5322252368202567e-06,2.751046724380907e-06,34.671367538826935,4.347308139819368e-12,success
4,2,1.4645529479528644e-06,1.3746314605300517e-06,2.959578106788471e-06,43.03010718659711,2.327591000294615e-12,success
4,3,1.6860888881478678e-06,1.5786624878479336e-06,3.329579158791034e-06,38.42740469820306,2.936977982001947e-12,success
4,4,1.3454810785017337e-06,1.4699906548319192e-06,3.2556946208869206e-06,36.85787554150852,2.7467914235363413e-12,success
4,5,1.6710847835695726e-06,1.8371323435088123e-06,3.1488121699306277e-06,40.85668811753794,9.082507152568356e-13,success
4,6,1.4037951509511498e-06,1.638749733860913e-06,3.7517601899549006e-06,47.9639290788886,1.034256310299487e-12,success
4,7,1.274184433403033e-06,1.5773146045500293e-06,3.4076755509956597e-06,39.973236587740516,1.5017575290224842e-12,success
4,8,1.5352867170039977e-06,1.2152036503515197e-06,2.899147397001254e-06,40.90834496424186,1.2501906025426967e-12,success
4,9,1.459719652301527e-06,1.4363203730588544e-06,3.104607069697355e-06,43.021924651276194,1.1304676944153192e-12,success
4,10,1.6145921281512132e-06,1.5533143912494802e-06,2.923366069556617e-06,34.05655078074057,4.300648293509545e-12,success
5,1,1.3771051687787265e-06,1.6015873495382992e-06,3.222520979276576e-06,42.3591325351792,8.514812490992996e-13,success
5,2,1.609781248159612e-06,1.4628818759311139e-06,2.5563304692964174e-06,42.83855743342341,1.8189534440100195e-13,success
5,3,1.4239117473002952e-06,1.4342002897823332e-06,2.4253303397084392e-06,42.00092559455608,2.241001764736203e-13,success
5,4,1.622318369787646e-06,1.4559336563901743e-06,3.227340292867658e-06,49.60859941377859,1.9182576795599545e-13,success
5,5,1.6163546299335887e-06,1.84800101393552e-06,3.274021374516272e-06,36.11634617133274,1.950154827329572e-12,success
5,6,1.6900548912188914e-06,1.650614114522323e-06,3.358951068715719e-06,45.23854355686404,1.847158819584131e-12,success
5,7,1.7981523183821203e-06,1.5627194688279546e-06,3.3471040932002695e-06,50.128501554422755,3.024275557463092e-13,success
5,8,1.5174545871783851e-06,1.5750880754295554e-06,3.069045199344133e-06,36.07284508647324,1.1680901554707664e-12,success
5,9,1.4955427554968633e-06,2.128e-06,2.991041894684464e-06,40.24675865861653,1.659199298020711e-12,success
5,10,1.4746222067043067e-06,1.6089166141100655e-06,2.9076213308127866e-06,35.776916376458,2.0479056909073082e-12,success
6,1,1.5460300197371106e-06,1.688919071346462e-06,2.285352457400751e-06,44.70121717010158,1.0246469056024821e-13,success
6,2,1.4781327444024726e-06,1.7331431384165206e-06,3.4367497363829746e-06,44.41925243163553,8.466885665683663e-13,success
6,3,1.654750709251973e-06,1.7833585482753568e-06,2.5765070980171807e-06,39.93815512008296,0.0,failed: 'Failed to evaluate code'
6,4,1.4780308733087231e-06,1.7962053229649258e-06,3.3405185935934275e-06,39.07531592498261,8.706939768914841e-12,success
6,5,1.4248883780308215e-06,1.6663802998472164e-06,3.0971764614263653e-06,41.401986556680946,1.1399366786421645e-12,success
6,6,1.3273828512694057e-06,1.8185478347840737e-06,2.456116632813233e-06,35.94922063130552,5.415295209736286e-13,success
6,7,1.375768937194707e-06,1.4656165533850284e-06,2.7675748127057462e-06,35.957237338639764,4.0868327746567925e-13,success
6,8,1.6586322348937345e-06,1.4733700083958913e-06,3.0126318048142027e-06,35.853789520499745,5.2199163154597255e-12,success
6,9,1.4778454509704634e-06,1.3138742802274276e-06,2.8978742460654195e-06,37.990033998516246,1.654338370116963e-12,success
6,10,1.3812802303625965e-06,1.7447338423649227e-06,3.2622629112866096e-06,46.49358320180853,1.8438717077719383e-12,success
7,1,1.5801630906603876e-06,1.6106668402140879e-06,3.1946795525716215e-06,33.68291099451449,0.0,failed: 'Failed to evaluate code'
7,2,1.757524946970542e-06,1.4779019793556526e-06,3.306710953022317e-06,47.02626977149412,9.543223975569712e-13,success
7,3,1.5007108978609621e-06,1.7679780530455284e-06,3.6772483432109204e-06,41.58962893675457,1.3814368388574595e-12,success
7,4,1.8294046105128242e-06,1.8089173809759201e-06,2.3392734244052328e-06,34.46504642620738,2.8597779910300116e-12,success
7,5,1.5127525387665438e-06,1.8543060929957298e-06,2.617700874519425e-06,29.738758578134824,2.145832720407597e-12,success
7,6,1.2720889883312101e-06,1.3847556785296751e-06,2.757186714816722e-06,33.18216955859092,6.514408449872026e-12,success
7,7,1.6287285196229385e-06,1.430768823708e-06,3.0227266279653766e-06,43.774299542567704,4.480433532205842e-13,success
7,8,1.2831862185370138e-06,1.6207144134807902e-06,3.303498361923048e-06,35.36937924236298,7.32421643879112e-13,success
7,9,1.4200998923621178e-06,1.9605184548895573e-06,3.243921831094805e-06,50.20559369830404,1.4042712236612677e-12,success
7,10,1.6591527080374748e-06,1.3458495020265088e-06,2.774894193963656e-06,34.149593167687385,7.1969133724963006e-12,success
8,1,1.4363694104473305e-06,1.9011179544106268e-06,3.2444218064416196e-06,42.98462766983892,1.3767426151832707e-12,success
8,2,1.3476966224317169e-06,1.6048716750299785e-06,2.651762327218584e-06,36.284387390166955,4.988466542852281e-13,success
8,3,1.622751334778627e-06,1.7098741941383846e-06,3.183325390960905e-06,43.21270110842672,1.9090274891011516e-12,success
8,4,1.5717819940625081e-06,1.542697742510195e-06,3.6932251882914936e-06,38.13648570239428,2.7170786091581136e-12,success
8,5,1.569728793228086e-06,1.6434058049755756e-06,3.0129429649397674e-06,38.72554813705273,4.9789871013150535e-12,success
8,6,1.4156596244389286e-06,1.4996198918907746e-06,3.71628209611988e-06,33.90236648001971,3.135443435255877e-12,success
8,7,1.5109619660103843e-06,1.6153753989901145e-06,3.2005209924826635e-06,31.88894444754368,3.5246008936627406e-12,success
8,8,1.2412427838266444e-06,1.7261833080517487e-06,3.3604162009104583e-06,36.16100823777027,1.7200058921859153e-12,success
8,9,1.9307294794036047e-06,1.7748303792101018e-06,2.9057907299540813e-06,36.383025678113285,3.9408069856339995e-13,success
8,10,1.6125662364575576e-06,1.401129113143294e-06,3.0095605404145506e-06,42.247378924249,4.3645480608604857e-13,success
9,1,1.593555573506731e-06,1.7839324655406443e-06,2.935628041106149e-06,39.746294802630395,1.4138067260084274e-12,success
9,2,1.7419789947938503e-06,1.5472826993891483e-06,3.3442927607466976e-06,38.59161964809621,5.058116359538168e-13,success
9,3,1.56494240677851e-06,1.5599984816450518e-06,3.070891177047643e-06,39.908576288082514,5.532174227528404e-12,success
9,4,1.7511679057268909e-06,1.5847317337719927e-06,2.806699281344025e-06,36.000057795597556,2.518416766949974e-12,success
9,5,1.3712027747109321e-06,1.7233316104485452e-06,2.7202540066095696e-06,44.08871601395972,8.727163196052405e-13,success
9,6,1.5510123066463404e-06,1.672838797063996e-06,3.624253158111708e-06,38.85499901296384,3.029685529874232e-12,success
9,7,1.5881736527793891e-06,1.776447579775183e-06,3.0069899373260086e-06,41.579680733095685,3.438566161618935e-13,success
9,8,1.5996038396959853e-06,1.4563804342733448e-06,3.0337868799679812e-06,46.41736111050598,6.634677914853121e-13,success
9,9,1.5399859021459825e-06,1.8118044103750665e-06,3.009225500536571e-06,43.74428211989991,8.306125527766303e-13,success
9,10,1.5722201040213815e-06,1.7261703560163898e-06,3.348657994811612e-06,45.43108421387047,5.710968906036164e-13,success
10,1,1.446448208400007e-06,1.6674604821332115e-06,2.789463303267199e-06,30.908665016032522,1.174722249098752e-12,success
10,2,1.4575406272272883e-06,1.362252242820622e-06,3.142966057195992e-06,35.72430045754005,4.578842485766217e-12,success
10,3,1.6286002672686665e-06,1.4894000235732019e-06,2.6936498597178562e-06,37.64713122028611,3.138987011079399e-12,success
10,4,1.89336016824888e-06,1.6030048957988402e-06,3.2577353664895104e-06,27.75809124090081,6.8466748023902506e-12,success
