iteration,sample,x1,x2,x3,y1,y2,y3,power_output,status
2,2,2.2982222559270366e-07,5.976405902172788e-07,-9.679999999999999e-07,-7.807232417638092e-07,8.915233413378141e-07,1.2601132083676699e-07,1.825351561360263e-13,success
2,3,-1.7869790587763098e-07,5.287630586453391e-07,-4.493479568803898e-07,-8.85557191400473e-07,4.5160953909191035e-07,3.091766702576404e-07,1.8350323006120893e-13,success
2,4,2.5525428058255096e-07,9.679999999999999e-07,-9.679999999999999e-07,-8.052534162293911e-07,8.952496573171523e-07,4.3835433960212075e-07,7.43804820504898e-14,success
2,5,-5.753030788712524e-07,6.420713041956403e-07,-9.679999999999999e-07,-2.2311041128574365e-07,9.679999999999999e-07,1.9464878378682864e-08,0.0,invalid_triangle_side
2,6,-6.849280520706476e-07,9.679999999999999e-07,-9.679999999999999e-07,-7.890765622848609e-07,5.005832018426385e-07,5.680823420844306e-07,6.129245468476631e-14,success
2,7,-2.5416609306774985e-07,6.280335444897376e-07,-9.679999999999999e-07,-4.85492706828702e-07,5.980535819073647e-07,9.547483143543883e-07,1.3446852031838693e-13,success
2,8,-7.258142600915701e-08,9.679999999999999e-07,-9.679999999999999e-07,-9.679999999999999e-07,6.101454970252343e-08,3.5327874152147735e-07,1.3905738798113404e-13,success
2,9,7.914181814184764e-08,7.683456653202968e-07,-8.782378428795419e-07,-9.679999999999999e-07,6.314519766709349e-07,9.679999999999999e-07,4.0567470502626925e-13,success
2,10,9.301633290655352e-07,9.679999999999999e-07,-9.679999999999999e-07,-2.0244061942203943e-07,7.844393831691934e-07,6.56777336544258e-07,5.3245145396363885e-14,success
3,1,6.118753719780119e-07,5.676219256271967e-07,-9.679999999999999e-07,-9.679999999999999e-07,9.679999999999999e-07,5.851704553260135e-07,2.2256053184408806e-13,success
3,2,3.4707543547818437e-07,4.384980781257754e-07,-4.289713325182935e-07,-4.042471542508584e-07,4.1579528411546737e-07,6.338133904968608e-07,6.349999835302666e-14,success
3,3,3.6438890670278975e-07,9.679999999999999e-07,-9.679999999999999e-07,-5.562383304298209e-07,3.9457629661766737e-07,-2.6907033312494705e-08,1.031517559347636e-13,success
3,4,7.946671026128338e-08,4.5529033327498177e-07,-6.093543620862495e-07,-7.138687281695008e-07,5.452997467487236e-07,6.415732286728525e-07,2.1497019753392994e-13,success
3,5,4.805440322328529e-08,5.426114843685654e-07,-2.0032596630511405e-07,-7.82406592030664e-07,8.917523018671356e-07,4.778326446093289e-07,2.479325053347177e-13,success
3,6,-1.056627432963382e-07,9.644001201887444e-07,-8.131270408042184e-07,-3.2758676900307723e-07,2.822667878392713e-07,9.459360932564152e-07,6.602897567955683e-14,success
3,7,4.1497052241185845e-07,9.679999999999999e-07,-6.17884279388814e-07,-7.903939329824831e-07,3.013006249770085e-07,6.318511105734559e-08,1.695767101976204e-13,success
3,8,-3.5469786573215985e-08,1.7897476642427335e-07,-7.299081263736133e-07,-9.679999999999999e-07,3.8482109382971893e-07,2.648473601848108e-07,9.23917513761259e-14,success
3,9,-4.592618225859049e-07,9.679999999999999e-07,-8.235077787423156e-07,-2.2532096440829303e-07,7.831359429562292e-07,5.43438599304889e-07,2.7144403079524012e-14,success
